714953739,sun,2,2,-1,3,2,2,1,2,2,0,-1,1,2,0,2,3,3,1,2,2,3,3,1,-1,
714953739,mon,0,-1,3,1,1,1,3,0,0,3,2,1,3,0,3,2,2,2,3,2,-1,3,1,1,
714953739,tue,2,2,2,0,3,0,2,-1,1,2,3,2,2,-1,2,3,1,-1,1,1,1,2,0,0,
714953739,wed,-1,-1,0,-1,2,2,1,3,0,3,1,3,2,1,-1,2,3,3,-1,0,1,2,-1,-1,
714953739,thu,0,1,1,1,0,1,2,0,0,-1,3,3,2,2,0,3,1,-1,-1,2,0,0,-1,3,
714953739,fri,0,2,3,1,3,-1,0,-1,2,1,2,-1,3,1,3,3,2,2,2,0,-1,2,0,1,
714953739,sat,1,0,3,1,2,1,2,2,1,-1,-1,1,0,2,2,-1,1,0,2,1,2,2,2,1,
715159509,sun,1,-1,1,1,1,-1,0,-1,0,0,3,2,1,2,1,1,1,0,2,-1,2,1,2,1,
715159509,mon,-1,-1,3,2,3,0,-1,2,1,2,-1,0,1,1,1,-1,-1,0,2,-1,3,3,3,0,
715159509,tue,2,-1,-1,-1,-1,3,3,2,-1,0,-1,-1,1,0,3,2,3,0,3,0,3,-1,3,1,
715159509,wed,3,2,3,2,0,3,-1,1,2,1,-1,-1,2,-1,1,1,2,2,1,0,-1,-1,3,-1,
715159509,thu,2,3,3,-1,-1,0,1,2,2,-1,2,-1,3,0,2,3,0,3,1,1,1,1,1,0,
715159509,fri,-1,-1,0,0,3,-1,0,0,3,2,3,2,1,2,2,1,-1,2,2,3,-1,1,1,1,
715159509,sat,3,2,2,-1,1,3,3,-1,3,2,2,3,2,-1,-1,0,1,1,3,0,-1,2,0,2,
720008212,sun,1,3,1,2,0,-1,-1,1,0,-1,0,-1,2,1,3,0,1,0,-1,3,3,1,3,-1,
720008212,mon,3,3,0,0,2,0,-1,1,3,1,2,-1,3,-1,0,-1,3,1,0,2,1,0,0,1,
720008212,tue,1,0,-1,2,-1,3,3,1,3,0,2,3,0,2,3,1,1,-1,0,3,-1,3,0,-1,
720008212,wed,1,-1,0,0,1,3,1,1,1,1,1,3,2,0,2,3,0,2,3,2,3,3,0,0,
720008212,thu,0,3,-1,3,3,1,0,0,2,3,2,0,-1,-1,2,1,3,1,1,2,1,3,-1,3,
720008212,fri,-1,2,3,3,-1,0,2,1,2,0,2,0,0,2,-1,3,3,2,1,0,3,2,1,2,
720008212,sat,0,1,3,3,0,1,1,0,-1,-1,-1,2,1,0,0,2,0,1,2,2,-1,0,0,0,
720026979,sun,0,2,1,3,1,2,3,3,0,-1,0,0,-1,0,1,1,-1,3,1,3,-1,0,0,0,
720026979,mon,-1,0,3,2,3,3,-1,0,-1,2,3,-1,0,3,0,1,-1,2,1,3,-1,-1,0,0,
720026979,tue,2,0,2,1,1,3,-1,0,-1,1,-1,3,0,2,3,1,3,2,3,-1,1,0,1,1,
720026979,wed,3,3,0,0,-1,3,-1,0,0,0,-1,2,-1,3,1,-1,-1,3,-1,1,2,3,-1,-1,
